adc_data,encrypted_data
  3845,  1241
  3850,  5469
  3855, 13698
  3860,-29429
  3865, -5178
  3870, 15948
  3875, 25265
  3880,  -933
  3885,  6642
  3890, 15841
  3895, 32718
  3900, -3009
  3905,  1630
  3910,  6924
  3915,  8794
  3920, 27509
  3925,-11815
  3930, 13195
  3935,-30608
  3940,-11062
  3945, 19811
  3950,-25180
  3955,-13841
  3960, 26414
  3965, -5983
  3970,  9314
  3975, 28175
  3980,-10443
  3985, 18674
  3990,-28362
  3995,-16750
  4000,-32711
  4005,-15364
  4010, 21064
  4015, -8448
  4020, 22965
  4025,-20326
  4030, 31322
  4035, -2859
  4040,  1833
  4045,  7289
  4050,  9239
  4055, 28316
  4060,-10257
  4065, 18359
  4070,-20701
  4075,-23867
  4080,-26263
  4085,-20400
  4090, 31483
  4095, -3263
  4100,  5604
  4105,  7447
  4110,  3374
  4115, 20640
  4120,-24614
  4125, -9203
  4130, 20037
  4135,-15901
  4140, 17453
  4145,-21872
  4150, 28206
  4155, -1015
  4160, 13385
  4165, 16469
  4170,-24150
  4175,-25024
  4180, -8321
  4185, 18583
  4190,-10997
  4195, 31431
  4200,  -869
  4205, 13000
  4210, 23684
  4215,-17539
  4220,-30198
  4225,-22510
  4230,-28331
  4235, -2580
  4240,  8389
  4245, 31731
  4250,  -449
  4255,  3870
  4260, 22183
  4265,-29892
  4270,-22988
  4275,-27186
  4280,-12799
  4285, 11465
  4290,-26992
  4295,-12802
  4300, 12278
  4305,-25520
  4310,-16085
  4315, 17275
  4320,-22215
  4325, 28512
  4330, -1675
  4335, 14402
  4340, 19097
  4345,-10233
  4350, 29946
  4355,-12479
  4360, 11345
  4365,-26288
  4370,-14182
  4375, 21736
  4380,-30057
  4385,-22650
  4390,-27524
  4395,-12323
  4400, 11557
  4405,-27469
  4410,-12395
  4415, 11685
  4420,-26645
  4425,-12838
  4430, 20776
  4435,-25010
  4440, -9114
  4445, 19733
  4450, -9103
  4455, 19962
  4460, -9040
  4465, 19031
  4470, -9225
  4475, 28726
  4480,-13898
  4485, 23004
  4490,-20149
  4495,-17233
  4500,-30913
  4505,-20967
  4510, 25811
  4515, -4733
  4520,  5797
  4525,  7690
  4530, 13173
  4535, 23803
  4540,-17798
  4545,-30486
  4550,-21707
  4555, 27715
  4560,  -794
  4565, 13300
  4570, 23055
  4575,-18084
  4580,-28930
  4585,-24128
  4590,-32572
  4595,-10119
  4600, 29432
  4605,-12809
  4610, 21350
  4615,-31907
  4620, -9427
  4625, 29140
  4630,-12373
  4635, 11356
  4640,-26551
  4645,-14359
  4650, 24218
  4655,-18362
  4660,-30301
  4665,-23366
  4670,-26717
  4675,-13108
  4680, 11918
  4685,-27322
  4690,-13893
  4695, 21443
  4700,-31764
  4705, -9473
  4710, 30419
  4715,-12885
  4720, 10463
  4725,-28653
  4730, -2528
  4735,  8248
  4740, 32057
  4745, -5426
  4750,  7296
  4755,  3498
  4760, 22514
  4765,-30501
  4770,-21924
  4775,-27728
  4780, -3044
  4785, 15547
  4790, 29950
  4795, -3598
  4800,  9972
  4805, 26318
  4810, -4943
  4815,  4106
  4820,  5375
  4825,  8038
  4830,  3156
  4835, 20798
  4840,-31705
  4845,-21075
  4850, 26434
  4855, -5750
  4860,  6861
  4865,   309
  4870, 15226
  4875, 19192
  4880,-11018
  4885, 29980
  4890, -3679
  4895,  9763
  4900, 25967
  4905, -5813
  4910,  6426
  4915,  1430
  4920,  8550
  4925, 31964
  4930, -5165
  4935,  7882
  4940,  3413
  4945, 20912
  4950,-30783
  4955,-12259
  4960, 32006
  4965, -6604
  4970,    10
  4975, 14436
  4980, 19678
  4985,-14362
  4990, 23983
  4995,-17238
  5000,-32386
  5005,-10820
  5010, 31375
  5015, -1526
  5020, 15146
  5025, 18898
  5030, -9565
  5035, 28767
  5040,-12890
  5045, 11806
  5050,-25921
  5055,-13341
  5060, 23514
  5065,-19582
  5070,-16952
  5075,-31013
  5080,-11862
  5085, 31795
  5090, -5291
  5095,  7892
  5100,  3767
  5105, 21187
  5110,-31976
  5115, -9723
  5120, 30262
  5125,-12751
  5130, 20656
  5135,-29510
  5140,-20522
  5145, 26631
  5150, -1071
  5155,  2384
  5160, 21850
  5165,-31404
  5170, -9019
  5175, 28722
  5180,-13699
  5185, 10513
  5190,-25589
  5195,-12820
  5200, 20963
  5205,-28997
  5210,-23657
  5215,-26852
  5220, -2388
  5225,  8574
  5230, 24977
  5235, -4464
  5240,  7478
  5245,   216
  5250, 14702
  5255, 29327
  5260, -2511
  5265,  8619
  5270, 25298
  5275, -4362
  5280,  7818
  5285,   575
  5290,  9886
  5295, 31537
  5300, -4935
  5305,  6849
  5310, 13467
  5315, 21437
  5320,-30161
  5325,-23481
  5330,-31574
  5335, -8680
  5340, 29805
  5345,-15820
  5350, 24123
  5355,-19785
  5360,-18934
  5365,-16932
  5370,-30443
  5375,-22852
  5380,-26540
  5385,-14962
  5390, 17216
  5395,-21807
  5400, 25040
  5405, -6135
  5410,  4192
  5415,  7822
  5420,  3277
  5425, 11447
  5430, 27362
  5435,  -973
  5440, 15489
  5445, 18831
  5450, -9346
  5455, 20431
  5460, -9139
  5465, 30346
  5470,-14207
  5475, 11115
  5480,-25413
  5485,-15435
  5490, 24483
  5495,-19659
  5500,-18850
  5505,-17059
  5510,-29725
  5515,-23301
  5520,-25780
  5525,-10204
  5530, 20192
  5535, -8484
  5540, 19018
  5545,-16248
  5550, 22616
  5555,-18184
  5560,-31766
  5565,-10849
  5570, 25047
  5575, -5210
  5580,  5948
  5585,  4944
  5590,  7087
  5595, 13823
  5600, 21122
  5605,-29885
  5610,-23266
  5615,-26022
  5620, -9768
  5625, 19395
  5630,-15214
  5635, 17064
  5640,-21980
  5645, 27985
  5650, -6348
  5655,  3352
  5660, 10810
  5665,-27768
  5670,-14272
  5675, 11064
  5680,-28288
  5685,-13169
  5690, 22004
  5695,-32609
  5700,-22060
  5705, 25442
  5710, -5596
  5715,  4311
  5720,  6187
  5725, 13900
  5730, 20783
  5735,-30694
  5740,-22743
  5745,-26286
  5750, -9394
  5755, 18980
  5760, -9269
  5765, 19130
  5770, -9606
  5775, 19038
  5780,-10019
  5785, 19711
  5790, -8585
  5795, 29319
  5800,-14289
  5805, 10865
  5810,-28282
  5815,-13029
  5820, 21681
  5825,-31741
  5830,-12203
  5835, 32426
  5840, -3801
  5845, 15725
  5850, 30718
  5855,-16071
  5860, 24071
  5865,-18659
  5870,-17378
  5875,-29613
  5880,-20822
  5885,-27474
  5890, -3203
  5895,  9486
  5900, 30777
  5905, -8142
  5910,  1803
  5915, 13507
  5920, 22659
  5925,-22569
  5930,-26467
  5935, -9457
  5940, 18791
  5945,-14676
  5950, 17246
  5955,-21309
  5960, 27595
  5965, -1967
  5970,  2536
  5975, 21264
  5980,-32543
  5985,-21774
  5990, 28586
  5995, -7498
  6000,  1304
  6005, 16281
  6010, 19854
  6015, -8861
  6020, 30326
  6025,-12755
  6030, 21052
  6035,-29322
  6040,-24512
  6045,-27488
  6050, -2702
  6055,  8884
  6060, 25174
  6065, -4785
  6070,  7850
  6075,   910
  6080, 15140
  6085, 29704
  6090,-13819
  6095, 10733
  6100,-25142
  6105,-15988
  6110, 23572
  6115,-16502
  6120,-30550
  6125,-18424
  6130,-31137
  6135, -8346
  6140, 29503
  6145,-14361
  6150,  8788
  6155,-26210
  6160,  -562
  6165, 14231
  6170, 29057
  6175, -3403
  6180, 16111
  6185, 19990
  6190,-22646
  6195, 27953
  6200, -7027
  6205,  7616
  6210,  5394
  6215,  1489
  6220, 23035
  6225,-30121
  6230, -8277
  6235, 32137
  6240, -1497
  6245, 11878
  6250, 24678
  6255, -4286
  6260,  2167
  6265, 15331
  6270, 22382
  6275,-18627
  6280,-30355
  6285,-12102
  6290, 32253
  6295, -1538
  6300, 12042
  6305, 25381
  6310, -6080
  6315,   987
  6320,  9283
  6325,-24629
  6330,-15443
  6335, 23467
  6340,-29221
  6345, -9579
  6350, 26840
  6355, -7740
  6360,  5206
  6365,   818
  6370,  9970
  6375,-28401
  6380,-12712
  6385, 21485
  6390,-16877
  6395,-17675
  6400,-19510
  6405,-31774
  6410,-20792
  6415,-26018
  6420, -1115
  6425, 11353
  6430, 28487
  6435, -7320
  6440,  4985
  6445,  4036
  6450, 11224
  6455, 26642
  6460, -7612
  6465,  4470
  6470,  2817
  6475, 12766
  6480, 17253
  6485,-11999
  6490, 32174
  6495, -1782
  6500,  8432
  6505, 26257
  6510, -3668
  6515, 13105
  6520, 17552
  6525,-13883
  6530, 19579
  6535,-22908
  6540, 28578
  6545, -7410
  6550,  4188
  6555,  3167
  6560, 10740
  6565, 29390
  6570, -2278
  6575,  1749
  6580, 23630
  6585,-32194
  6590,-20713
  6595,-25451
  6600,-14651
  6605,  8745
  6610,-25405
  6615,-14762
  6620,  8910
  6625,-25947
  6630, -1241
  6635, 11460
  6640, 28618
  6645, -7282
  6650,  5111
  6655,  4004
  6660, 11180
  6665, 29785
  6670, -4305
  6675,  2522
  6680, 12780
  6685, 31670
  6690,-15574
  6695, 23806
  6700,-30892
  6705,-22255
  6710,-28168
  6715,-13963
  6720, 19205
  6725,-20777
  6730,-27805
  6735,-15789
  6740, 21213
  6745,-17562
  6750,-18921
  6755,-32175
  6760,-22824
  6765, 24585
  6770, -5988
  6775,  3517
  6780, 11942
  6785, 28663
  6790, -7827
  6795,  7653
  6800,  2590
  6805, 15962
  6810, 19292
  6815,-20701
  6820,-25184
  6825,-16048
  6830, 23335
  6835,-29932
  6840,-11750
  6845, 32278
  6850,-14985
  6855,  8313
  6860,-26549
  6865,  -266
  6870, 10356
  6875, 27223
  6880, -7944
  6885,  4180
  6890,  3363
  6895, 11834
  6900, 28562
  6905, -6402
  6910,  7621
  6915,  2840
  6920, 14543
  6925, 21642
  6930,-21590
  6935,-29894
  6940,-12224
  6945, 17554
  6950,-12401
  6955, 21985
  6960,-19416
  6965,-30683
  6970, -8903
  6975, 29268
  6980, -3837
  6985, 15413
  6990, 19696
  6995, -9809
  7000, 30134
  7005, -4647
  7010,  2647
  7015, 15701
  7020, 20360
  7025,-22563
  7030, 24850
  7035, -5744
  7040,  3148
  7045, 12139
  7050, 28187
  7055, -8135
  7060,  7260
  7065,  2779
  7070, 15816
  7075, 20127
  7080,-22835
  7085, 25266
  7090, -4470
  7095,  2094
  7100, 12337
  7105, 31502
  7110,-13079
  7115, 20984
  7120,-16577
  7125,-16831
  7130,-16459
  7135,-16984
  7140,-18133
  7145,-19827
  7150,-31076
  7155,-22327
  7160,-28567
  7165,-14266
  7170, 19571
  7175,-20790
  7180,-28584
  7185,-12720
  7190, 20274
  7195,-23338
  7200,-25259
  7205, -1475
  7210, 13117
  7215, 29838
  7220, -2893
  7225, 13981
  7230, 17145
  7235,-12578
  7240, 20165
  7245,-21702
  7250,-24656
  7255,  -521
  7260, 11104
  7265, 26325
  7270, -4552
  7275,  1193
  7280, 11123
  7285, 26175
  7290, -4251
  7295,  2836
  7300, 10377
  7305, 28450
  7310, -7256
  7315,  7448
  7320,  8191
  7325,  6913
  7330,  3150
  7335, 14648
  7340, 20279
  7345,-23174
  7350, 25370
  7355, -2578
  7360, 13812
  7365, 18268
  7370,-10432
  7375, 17317
  7380,-14127
  7385, 21281
  7390,-21138
  7395,-28022
  7400,-11680
  7405, 17690
  7410, -9444
  7415, 30991
  7420,  -415
  7425, 10350
  7430, 27569
  7435, -7019
  7440,  5771
  7445,  1232
  7450,  9299
  7455, 25183
  7460, -2251
  7465, 15042
  7470, 17821
  7475,-10203
  7480, 30241
  7485, -3904
  7490, 15868
  7495, 21892
  7500,-17155
  7505,-18897
  7510,-31489
  7515,-22705
  7520, 25162
  7525, -2210
  7530, 15092
  7535, 17761
  7540, -8493
  7545, 28868
  7550, -4446
  7555,  2971
  7560, 11421
  7565, 28816
  7570, -4122
  7575,  1336
  7580, 11080
  7585, 25719
  7590, -4532
  7595,  2128
  7600, 11624
  7605, 28982
  7610, -4974
  7615,  1869
  7620,  9770
  7625,-26391
  7630,-15705
  7635,  9876
  7640,-24991
  7645,  -991
  7650, 11135
  7655, 25791
  7660, -5828
  7665,  2470
  7670, 12482
  7675, 31111
  7680,-16063
  7685,  9610
  7690,-26021
  7695,  -291
  7700,  9898
  7705, 24583
  7710, -3525
  7715, 14906
  7720, 19992
  7725,-21486
  7730,-27799
  7735,-12723
  7740, 18518
  7745, -8633
  7750, 27153
  7755, -7252
  7760,  7571
  7765,  5647
  7770,  3273
  7775, 14102
  7780, 17828
  7785,-10875
  7790, 16589
  7795,-13254
  7800, 19822
  7805,-22830
  7810,-24795
  7815, -1232
  7820, 12610
  7825, 29857
  7830, -2718
  7835, 15076
  7840, 20413
  7845,-21778
  7850,-26878
  7855,-13942
  7860, 21748
  7865,-17485
  7870,-17446
  7875,-17796
  7880,-17632
  7885,-17141
  7890,-18061
  7895,-16779
  7900,-19529
  7905,-30518
  7910, -8574
  7915, 27969
  7920, -7720
  7925,  8053
  7930,  7598
  7935,  6552
  7940,  3967
  7945, 15276
  7950, 20066
  7955,-21528
  7960,-26767
  7965,-14732
  7970, 22792
  7975,-31542
  7980,-21801
  7985,-26199
  7990,-15476
  7995, 24344
  8000,-28210
  8005,-12021
  8010, 17685
  8015,-10345
  8020, 31510
  8025,-15977
  8030,  8974
  8035,-26257
  8040,-15664
  8045,  8503
  8050,-27161
  8050,-13813
  8055, 21031
  8060,-19284
  8065,-31098
  8070,-23363
  8075, 25226
  8080, -3664
  8085, 16366
  8090, 22455
  8095,-16390
  8100,-19850
  8105,-30013
  8110, -8596
  8115, 28317
  8120, -7111
  8125,  6047
  8130,  3549
  8135, 14223
  8140, 17990
  8145, -9940
  8150, 30845
  8155, -1605
  8160, 12670
  8165, 30833
  8170, -1599
  8175, 12562
  8180, 30618
  8185, -2079
  8190, 13445
  8195, 16556
  8200, -2347
  8205, 27340
  8210,-31223
  8215,-31900
  8220,-30632
  8225,-16470
  8230,-28811
  8235,-19832
  8240, -6423
  8245, 18386
  8250,-14629
  8255,  3487
  8260, 17709
  8265,-16110
  8270,  6136
  8275, 23452
  8280,-12280
  8285, 15581
  8290,  7989
  8295,-21331
  8300, -3815
  8305, 29921
  8310,-25701
  8315, 23476
  8320,-12078
  8325, 15375
  8330,  8172
  8335,-21395
  8340, -3630
  8345, 29792
  8350,-25523
  8355, 23178
  8360,-11278
  8365, 13909
  8370,  5043
  8375, 20971
  8380, -9380
  8385, 10163
  8390, 12356
  8395,  1123
  8400, 29092
  8405,-27177
  8410,-22387
  8415, -1713
  8420, 25862
  8425,-17499
  8430,-26626
  8435,-23452
  8440,-16234
  8445,  6559
  8450, 24207
  8455,-14197
  8460,  2524
  8465, 31658
  8470, -5957
  8475, 17368
  8480, -1446
  8485, 25418
  8490,-19836
  8495, -6695
  8500, 19041
  8505,-12364
  8510, 16003
  8515, 26568
  8520,-17019
  8525,-27366
  8530,-22309
  8535, -2505
  8540, 26758
  8545,-31364
  8550,-31114
  8555,-32552
  8560,-30205
  8565,-18236
  8570,-25731
  8575, 24138
  8580,-13404
  8585,  1609
  8590, 31194
  8595, -6704
  8600, 19727
  8605,-12093
  8610, 15167
  8615,  6784
  8620,-23850
  8625,-15406
  8630,  5227
  8635, 22026
  8640,-10729
  8645, 12048
  8650,   316
  8655, 26872
  8660,-31892
  8665,-30650
  8670,-17199
  8675,-28151
  8680,-21583
  8685, -3062
  8690, 28020
  8695,-29707
  8700,-16990
  8705,-26841
  8710,-22000
  8715, -2042
  8720, 26339
  8725,-17622
  8730,-26421
  8735, 24534
  8740,-12564
  8745,   213
  8750, 28640
  8755,-28966
  8760,-19162
  8765,-25461
  8770, 21749
  8775, -9252
  8780, 10715
  8785, 15252
  8790,  6937
  8795, 23813
  8800,-13438
  8805,  2641
  8810, 31541
  8815, -6920
  8820, 18970
  8825,-13721
  8830,  2322
  8835, 16896
  8840, -2824
  8845, 26905
  8850,-31380
  8855,-32103
  8860,-29461
  8865,-18796
